ticker,date,last,volume
7201 JT,2013-01-04,649.0172,22882300
7201 JT,2013-01-07,646.7373,20056600
7201 JT,2013-01-08,639.8976,16460500
7201 JT,2013-01-09,643.6974,16507100
7201 JT,2013-01-10,649.0172,15458400
7201 JT,2013-01-11,663.4567,24850000
7201 JT,2013-01-15,671.0565,19491300
7201 JT,2013-01-16,658.1369,27184600
7201 JT,2013-01-17,659.6569,23031400
7201 JT,2013-01-18,667.2566,26476100
7201 JT,2013-01-21,657.377,16310100
7201 JT,2013-01-22,658.1369,24333200
7201 JT,2013-01-23,639.8976,20676800
7201 JT,2013-01-24,647.4973,20672800
7201 JT,2013-01-25,664.2167,21675100
7201 JT,2013-01-28,680.1762,30308600
7201 JT,2013-01-29,709.8151,36320100
7201 JT,2013-01-30,708.2952,17859900
7201 JT,2013-01-31,711.3351,18256900
7201 JT,2013-02-01,710.5751,19792300
7201 JT,2013-02-04,740.974,23034600
7201 JT,2013-02-05,725.7746,16784500
7201 JT,2013-02-06,756.9335,28105800
7201 JT,2013-02-07,754.6535,19031300
7201 JT,2013-02-08,750.0937,23688600
7201 JT,2013-02-12,721.9747,51538200
7201 JT,2013-02-13,721.9747,15116600
7201 JT,2013-02-14,709.0551,17913900
7201 JT,2013-02-15,708.2952,20157600
7201 JT,2013-02-18,721.9747,13841800
7201 JT,2013-02-19,714.375,12485200
7201 JT,2013-02-20,712.855,16659100
7201 JT,2013-02-21,714.375,11746100
7201 JT,2013-02-22,713.615,13600100
7201 JT,2013-02-25,714.375,14487500
7201 JT,2013-02-26,696.1356,18447600
7201 JT,2013-02-27,685.496,13834000
7201 JT,2013-02-28,712.095,19118900
7201 JT,2013-03-01,717.4148,13818400
7201 JT,2013-03-04,718.1748,12421500
7201 JT,2013-03-05,716.6549,9411300
7201 JT,2013-03-06,719.6948,9676000
7201 JT,2013-03-07,709.8151,13024200
7201 JT,2013-03-08,731.0944,29432600
7201 JT,2013-03-11,754.6535,17921700
7201 JT,2013-03-12,754.6535,19611700
7201 JT,2013-03-13,759.2134,11972200
7201 JT,2013-03-14,753.8936,12093500
7201 JT,2013-03-15,748.5738,22499000
7201 JT,2013-03-18,722.7347,17595200
7201 JT,2013-03-19,727.2945,14430400
7201 JT,2013-03-21,740.974,17222200
7201 JT,2013-03-22,718.9348,15803700
7201 JT,2013-03-25,718.1748,15062200
7201 JT,2013-03-26,704.4953,16941800
7201 JT,2013-03-27,710.2728,14917100
7201 JT,2013-03-28,698.7173,13797600
7201 JT,2013-03-29,697.1766,17533200
7201 JT,2013-04-01,683.3101,13438500
7201 JT,2013-04-02,659.4289,25930900
7201 JT,2013-04-03,684.8508,18623900
7201 JT,2013-04-04,702.5691,26920000
7201 JT,2013-04-05,745.7094,43653900
7201 JT,2013-04-08,754.1833,28076500
7201 JT,2013-04-09,760.3462,27206500
7201 JT,2013-04-10,769.5905,28363000
7201 JT,2013-04-11,803.4864,34549700
7201 JT,2013-04-12,810.4197,22459200
7201 JT,2013-04-15,778.8349,17332100
7201 JT,2013-04-16,763.4277,22041600
7201 JT,2013-04-17,788.8496,16943000
7201 JT,2013-04-18,788.0792,20307200
7201 JT,2013-04-19,789.6199,14319300
7201 JT,2013-04-22,810.4197,22183600
7201 JT,2013-04-23,796.5532,19426400
7201 JT,2013-04-24,815.0418,17464600
7201 JT,2013-04-25,799.6346,21874900
7201 JT,2013-04-26,796.5532,18551200
7201 JT,2013-04-30,782.6867,16933500
7201 JT,2013-05-01,769.5905,12342900
7201 JT,2013-05-02,754.1833,20464900
7201 JT,2013-05-07,783.457,17494900
7201 JT,2013-05-08,784.9978,17695000
7201 JT,2013-05-09,795.0125,14873900
7201 JT,2013-05-10,818.8936,27931800
7201 JT,2013-05-13,855.871,29157700
7201 JT,2013-05-14,845.8563,18994900
7201 JT,2013-05-15,883.604,24192800
7201 JT,2013-05-16,893.6186,19436500
7201 JT,2013-05-17,893.6186,13047000
7201 JT,2013-05-20,943.6921,26119700
7201 JT,2013-05-21,949.0846,18856900
7201 JT,2013-05-22,935.9885,16846100
7201 JT,2013-05-23,899.7815,33497000
7201 JT,2013-05-24,889.7668,26179600
7201 JT,2013-05-27,828.9083,27775600
7201 JT,2013-05-28,863.5746,28280900
7201 JT,2013-05-29,873.5893,17910300
7201 JT,2013-05-30,862.8042,23558200
7201 JT,2013-05-31,858.9524,17830500
7201 JT,2013-06-03,824.2862,18229400
7201 JT,2013-06-04,846.6266,20766600
7201 JT,2013-06-05,814.2715,16808200
7201 JT,2013-06-06,793.4717,20387500
7201 JT,2013-06-07,764.9684,27920400
7201 JT,2013-06-10,811.9604,15365700
7201 JT,2013-06-11,818.1233,18286300
7201 JT,2013-06-12,799.6346,13399800
7201 JT,2013-06-13,754.1833,21532300
7201 JT,2013-06-14,759.5758,24964800
7201 JT,2013-06-17,768.8202,15417800
7201 JT,2013-06-18,770.3609,10904100
7201 JT,2013-06-19,785.7681,11342900
7201 JT,2013-06-20,778.0645,14856400
7201 JT,2013-06-21,793.4717,21432100
7201 JT,2013-06-24,766.5091,14349200
7201 JT,2013-06-25,758.0351,19186800
7201 JT,2013-06-26,748.7908,19264000
7201 JT,2013-06-27,748.0204,26788500
7201 JT,2013-06-28,774.2127,23177900
7201 JT,2013-07-01,782.6867,12012200
7201 JT,2013-07-02,805.0271,14629500
7201 JT,2013-07-03,809.6493,14597500
7201 JT,2013-07-04,798.0939,9304300
7201 JT,2013-07-05,813.5011,8165600
7201 JT,2013-07-08,807.3382,9511700
7201 JT,2013-07-09,839.6934,17630500
7201 JT,2013-07-10,838.1527,11854900
7201 JT,2013-07-11,841.2341,12436100
7201 JT,2013-07-12,843.5452,10469200
7201 JT,2013-07-16,858.9524,11319100
7201 JT,2013-07-17,862.0338,8970300
7201 JT,2013-07-18,858.9524,8347000
7201 JT,2013-07-19,863.5746,14874000
7201 JT,2013-07-22,857.4117,12122500
7201 JT,2013-07-23,856.6413,7859500
7201 JT,2013-07-24,861.2635,7963900
7201 JT,2013-07-25,856.6413,10115700
7201 JT,2013-07-26,845.0859,15924200
7201 JT,2013-07-29,802.7161,19056000
7201 JT,2013-07-30,805.7975,15345800
7201 JT,2013-07-31,791.1606,11612300
7201 JT,2013-08-01,800.405,11113300
7201 JT,2013-08-02,825.0565,10926000
7201 JT,2013-08-05,821.9751,11070500
7201 JT,2013-08-06,826.5972,10327700
7201 JT,2013-08-07,813.5011,14254500
7201 JT,2013-08-08,804.2568,11791400
7201 JT,2013-08-09,799.6346,12565600
7201 JT,2013-08-12,788.0792,11025900
7201 JT,2013-08-13,802.7161,10875000
7201 JT,2013-08-14,812.7308,13230200
7201 JT,2013-08-15,800.405,9150600
7201 JT,2013-08-16,797.3235,13523800
7201 JT,2013-08-19,794.2421,8372300
7201 JT,2013-08-20,771.9016,20066500
7201 JT,2013-08-21,769.5905,11334900
7201 JT,2013-08-22,765.7387,8273300
7201 JT,2013-08-23,791.931,13911200
7201 JT,2013-08-26,788.0792,8230200
7201 JT,2013-08-27,777.2942,10386300
7201 JT,2013-08-28,757.2648,12139800
7201 JT,2013-08-29,754.1833,10134700
7201 JT,2013-08-30,752.6426,12046200
7201 JT,2013-09-02,755.724,7474900
7201 JT,2013-09-03,779.6052,11669400
7201 JT,2013-09-04,780.3756,7862400
7201 JT,2013-09-05,784.9978,9721100
7201 JT,2013-09-06,781.9163,7531400
7201 JT,2013-09-09,793.4717,8234500
7201 JT,2013-09-10,781.146,18935800
7201 JT,2013-09-11,776.5238,16807800
7201 JT,2013-09-12,767.2795,19782100
7201 JT,2013-09-13,768.8202,17445400
7201 JT,2013-09-17,764.9684,11650000
7201 JT,2013-09-18,766.5091,12542700
7201 JT,2013-09-19,782.6867,16862800
7201 JT,2013-09-20,781.9163,10853200
7201 JT,2013-09-24,781.146,9303700
7201 JT,2013-09-25,783.457,8444200
7201 JT,2013-09-26,794.4033,11763700
7201 JT,2013-09-27,786.5844,10431500
7201 JT,2013-09-30,769.3828,14825900
7201 JT,2013-10-01,775.6379,10581100
7201 JT,2013-10-02,767.819,17534400
7201 JT,2013-10-03,764.6914,12270500
7201 JT,2013-10-04,757.6544,15141800
7201 JT,2013-10-07,753.7449,15864500
7201 JT,2013-10-08,747.4897,17419000
7201 JT,2013-10-09,759.2181,16529700
7201 JT,2013-10-10,778.7655,16672600
7201 JT,2013-10-11,788.9301,15072500
7201 JT,2013-10-15,782.6749,10230100
7201 JT,2013-10-16,781.893,8210100
7201 JT,2013-10-17,799.0947,25977800
7201 JT,2013-10-18,803.0042,10514800
7201 JT,2013-10-21,793.6214,13622400
7201 JT,2013-10-22,794.4033,11563100
7201 JT,2013-10-23,779.5474,14305300
7201 JT,2013-10-24,786.5844,12716400
7201 JT,2013-10-25,777.9836,11558800
